method,infection,connectivity,removed_edges,seed
No Pruning,0.825,1.0,0,1000
Random,0.5549999999999999,0.868421052631579,20,1000
Degree Centrality,0.375,0.868421052631579,20,1000
Betweenness Centrality,0.725,0.868421052631579,20,1000
Threshold,0.6,0.868421052631579,20,1000
Top-K,0.55,0.8618421052631579,21,1000
Dynamic RL,0.525,0.868421052631579,20,1000
No Pruning,0.65,1.0,0,1001
Random,0.465,0.868421052631579,20,1001
Degree Centrality,0.35,0.868421052631579,20,1001
Betweenness Centrality,0.45,0.868421052631579,20,1001
Threshold,0.675,0.868421052631579,20,1001
Top-K,0.45,0.8552631578947368,22,1001
Dynamic RL,0.325,0.868421052631579,20,1001
No Pruning,0.8,1.0,0,1002
Random,0.515,0.868421052631579,20,1002
Degree Centrality,0.35,0.868421052631579,20,1002
Betweenness Centrality,0.55,0.868421052631579,20,1002
Threshold,0.575,0.868421052631579,20,1002
Top-K,0.625,0.881578947368421,18,1002
Dynamic RL,0.55,0.868421052631579,20,1002
No Pruning,0.625,1.0,0,1003
Random,0.4525,0.868421052631579,20,1003
Degree Centrality,0.425,0.868421052631579,20,1003
Betweenness Centrality,0.6,0.868421052631579,20,1003
Threshold,0.425,0.868421052631579,20,1003
Top-K,0.425,0.8552631578947368,22,1003
Dynamic RL,0.325,0.868421052631579,20,1003
No Pruning,0.9,1.0,0,1004
Random,0.44000000000000006,0.868421052631579,20,1004
Degree Centrality,0.625,0.868421052631579,20,1004
Betweenness Centrality,0.25,0.868421052631579,20,1004
Threshold,0.75,0.868421052631579,20,1004
Top-K,0.675,0.8618421052631579,21,1004
Dynamic RL,0.575,0.868421052631579,20,1004
No Pruning,0.825,1.0,0,1005
Random,0.6025,0.868421052631579,20,1005
Degree Centrality,0.45,0.868421052631579,20,1005
Betweenness Centrality,0.45,0.868421052631579,20,1005
Threshold,0.45,0.868421052631579,20,1005
Top-K,0.825,0.8552631578947368,22,1005
Dynamic RL,0.55,0.868421052631579,20,1005
No Pruning,0.45,1.0,0,1006
Random,0.5549999999999999,0.868421052631579,20,1006
Degree Centrality,0.425,0.868421052631579,20,1006
Betweenness Centrality,0.3,0.868421052631579,20,1006
Threshold,0.425,0.868421052631579,20,1006
Top-K,0.425,0.868421052631579,20,1006
Dynamic RL,0.725,0.868421052631579,20,1006
No Pruning,0.5,1.0,0,1007
Random,0.5700000000000001,0.868421052631579,20,1007
Degree Centrality,0.75,0.868421052631579,20,1007
Betweenness Centrality,0.575,0.868421052631579,20,1007
Threshold,0.525,0.868421052631579,20,1007
Top-K,0.375,0.8486842105263158,23,1007
Dynamic RL,0.45,0.868421052631579,20,1007
No Pruning,0.475,1.0,0,1008
Random,0.5225,0.868421052631579,20,1008
Degree Centrality,0.375,0.868421052631579,20,1008
Betweenness Centrality,0.5,0.868421052631579,20,1008
Threshold,0.8,0.868421052631579,20,1008
Top-K,0.425,0.8486842105263158,23,1008
Dynamic RL,0.6,0.868421052631579,20,1008
No Pruning,0.6,1.0,0,1009
Random,0.575,0.868421052631579,20,1009
Degree Centrality,0.35,0.868421052631579,20,1009
Betweenness Centrality,0.625,0.868421052631579,20,1009
Threshold,0.55,0.868421052631579,20,1009
Top-K,0.65,0.868421052631579,20,1009
Dynamic RL,0.375,0.868421052631579,20,1009
No Pruning,0.65,1.0,0,1010
Random,0.3625,0.868421052631579,20,1010
Degree Centrality,0.475,0.868421052631579,20,1010
Betweenness Centrality,0.625,0.868421052631579,20,1010
Threshold,0.525,0.868421052631579,20,1010
Top-K,0.45,0.868421052631579,20,1010
Dynamic RL,0.525,0.868421052631579,20,1010
No Pruning,0.6,1.0,0,1011
Random,0.615,0.868421052631579,20,1011
Degree Centrality,0.575,0.868421052631579,20,1011
Betweenness Centrality,0.625,0.868421052631579,20,1011
Threshold,0.475,0.868421052631579,20,1011
Top-K,0.6,0.868421052631579,20,1011
Dynamic RL,0.45,0.868421052631579,20,1011
No Pruning,0.55,1.0,0,1012
Random,0.5425,0.868421052631579,20,1012
Degree Centrality,0.7,0.868421052631579,20,1012
Betweenness Centrality,0.725,0.868421052631579,20,1012
Threshold,0.825,0.868421052631579,20,1012
Top-K,0.6,0.8618421052631579,21,1012
Dynamic RL,0.175,0.868421052631579,20,1012
No Pruning,0.475,1.0,0,1013
Random,0.5475,0.868421052631579,20,1013
Degree Centrality,0.6,0.868421052631579,20,1013
Betweenness Centrality,0.625,0.868421052631579,20,1013
Threshold,0.425,0.868421052631579,20,1013
Top-K,0.625,0.8552631578947368,22,1013
Dynamic RL,0.4,0.868421052631579,20,1013
No Pruning,0.675,1.0,0,1014
Random,0.625,0.868421052631579,20,1014
Degree Centrality,0.625,0.868421052631579,20,1014
Betweenness Centrality,0.625,0.868421052631579,20,1014
Threshold,0.6,0.868421052631579,20,1014
Top-K,0.325,0.8552631578947368,22,1014
Dynamic RL,0.45,0.868421052631579,20,1014
No Pruning,0.775,1.0,0,1015
Random,0.7,0.868421052631579,20,1015
Degree Centrality,0.45,0.868421052631579,20,1015
Betweenness Centrality,0.65,0.868421052631579,20,1015
Threshold,0.45,0.868421052631579,20,1015
Top-K,0.725,0.8552631578947368,22,1015
Dynamic RL,0.65,0.868421052631579,20,1015
No Pruning,0.8,1.0,0,1016
Random,0.515,0.868421052631579,20,1016
Degree Centrality,0.675,0.868421052631579,20,1016
Betweenness Centrality,0.75,0.868421052631579,20,1016
Threshold,0.425,0.868421052631579,20,1016
Top-K,0.1,0.881578947368421,18,1016
Dynamic RL,0.65,0.868421052631579,20,1016
No Pruning,0.575,1.0,0,1017
Random,0.5525,0.868421052631579,20,1017
Degree Centrality,0.275,0.868421052631579,20,1017
