Source_Node,Pruned_Neighbors,Number_of_Pruned_Edges,Average_Attention,Average_Reward
39,"[18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38, 18, 20, 38]",63,0.3115896350807614,0.3262672811059908
3,"[33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9, 33, 9]",42,0.35427851974964136,0.32089093701996924
32,"[39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24, 39, 24]",42,0.1452915916840235,0.315937019969278
16,"[17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9, 17, 9]",42,0.28290945043166477,0.3231182795698924
38,"[11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15, 11, 15]",41,0.2596774900831827,0.3108477576711251
7,"[39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",21,0.10912826657295223,0.295142089093702
4,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",21,0.38668223222096754,0.3142665130568356
1,"[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]",21,0.20540280143419898,0.3098502304147465
23,"[37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37, 37]",21,0.22246183951695755,0.32672811059907825
26,"[38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38, 38]",21,0.4524447520573934,0.2921850998463902
13,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21,0.3013351957003276,0.2892665130568356
19,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",21,0.05048845708370207,0.3390552995391705
27,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",21,0.07111422220865883,0.33168202764976956
20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20,0.21926725134253502,0.28375
0,[9],1,0.1340119689702987,0.2568548387096774
2,[36],1,0.3981027603149414,0.3443548387096774
